timestamp,input_url,source_host,score,verdict,title,description,author,print_time_ai,material_ai,downloads,likes,search_volume,search_trend,etsy_listings,etsy_avg_price,market_insight,sell_price,units_per_month,gross_revenue,print_cost,etsy_fees,net_profit,manufacturing_verdict,is_3d_optimal,printing_advantage,etsy_ban_risk,etsy_ban_reason,legal_risk,legal_desc,copyright_risk,copyright_desc,best_platform,category,marketplace,price_range,print_time_input,material_input,seller_goal,printer_count,printer_type,experience,weekly_time,active_markets,social_media,sell_from,sell_to,legal_flags
2026-04-25T19:05:22.316Z,{ $('Webhook: Analysis Request').item.json.body.url || $('Webhook: Analysis Request').item.json.body.description || '' },makerworld.com/en/models/77709,42,Marginal — needs a unique angle,Laptop Stand,"A minimalist 3D-printed laptop/computer stand featuring embedded M6×3mm magnets for a clean, seamless aesthetic. Designed for desk use with a focus on simplicity and durability.",福气,6.2h,~180g PLA (estimated for a multi-plate laptop stand across 3 plates),,,18000,→ Stable,12000,€24,"<b>Laptop stands are a high-search, high-competition category</b> — over 12,000 Etsy listings exist, and most top sellers use wood or aluminium, which buyers perceive as more premium than FDM-printed plastic at comparable price points. <b>3D-printed entries perform best when they offer personalisation (engraved name, logo, adjustable sizing) or a niche fit</b> (e.g. a stand designed specifically for a MacBook Air M3 with cable routing). With a 6.2h print time on a single printer, maximum output is approximately 2 units per day, creating a hard production ceiling that limits monthly revenue potential without multiple machines.",€24.00,35,840,119,92,629,"Works, but has limits",FALSE,"Zero tooling cost — allows market testing and rapid design iteration (e.g. custom sizes, cable channels, branding inserts) before committing to any other manufacturing method",high,"The model is licensed under Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 (CC BY-NC-ND), which explicitly prohibits commercial use — selling printed copies on Etsy violates this license and breaches Etsy's March 2026 reselling policy, creating a real risk of listing removal or account suspension.",medium,,,,,{ $('Webhook: Analysis Request').item.json.body.category || '' },{ $('Webhook: Analysis Request').item.json.body.marketplace || '' },{ $('Webhook: Analysis Request').item.json.body.priceRange || '' },{ $('Webhook: Analysis Request').item.json.body.printTime || '' },{ $('Webhook: Analysis Request').item.json.body.material || '' },{ $('Webhook: Analysis Request').item.json.body.sellerGoal || '' },{ $('Webhook: Analysis Request').item.json.body.printerCount || '' },{ $('Webhook: Analysis Request').item.json.body.printerType || '' },{ $('Webhook: Analysis Request').item.json.body.experience || '' },{ $('Webhook: Analysis Request').item.json.body.weeklyTime || '' },"{ Array.isArray($('Webhook: Analysis Request').item.json.body.activeMarkets) ? $('Webhook: Analysis Request').item.json.body.activeMarkets.join(', ') : ($('Webhook: Analysis Request').item.json.body.activeMarkets || '') }","{ Array.isArray($('Webhook: Analysis Request').item.json.body.socialMedia) ? $('Webhook: Analysis Request').item.json.body.socialMedia.join(', ') : ($('Webhook: Analysis Request').item.json.body.socialMedia || '') }",{ $('Webhook: Analysis Request').item.json.body.sellFrom || '' },{ $('Webhook: Analysis Request').item.json.body.sellTo || '' },"{ Array.isArray($('Webhook: Analysis Request').item.json.body.legalFlags) ? $('Webhook: Analysis Request').item.json.body.legalFlags.join(', ') : ($('Webhook: Analysis Request').item.json.body.legalFlags || '') }"
2026-04-25T19:23:05.696Z,https://makerworld.com/de/models/2693321,makerworld.com/de/models/2693321,58,Marginal — needs a unique angle,Dandelion Flower Series - HueForge Wall Art,"A multi-filament HueForge wall art piece depicting a dandelion mid-release, printed in four tonal layers (Black, Blue Gray, Gray, White) at 0.08mm for fine photographic detail. Designed as a calm, airy décor print suitable for gifting or home display.",novy,4.4h,~45g PLA (4-colour HueForge swap),,,9500,→ Stable,12000,€14,"<b>Wall art on Etsy has strong evergreen demand</b>, but the category is saturated with digital prints and posters selling at €2–8, making physical 3D-printed pieces harder to justify without a clear differentiation story. <b>HueForge specifically is a niche within a niche</b> — buyers who understand the process perceive it as premium and handcrafted, but the majority of Etsy shoppers have never heard of HueForge, so the listing must explain the technique visually. <b>Dandelion motifs trend seasonally</b> around spring and Mother's Day (March–May), which offers a short but meaningful revenue window that a new seller should plan for with listings live at least 6 weeks before peak.",€10.00,18,180,32,23,125,"Works, but has limits",TRUE,"Tonal layering — HueForge's colour-depth effect is physically impossible to replicate with laser cutting, offset printing, or injection moulding, giving the finished piece a genuinely unique handcrafted identity that buyers cannot source elsewhere at this price point.",medium,The scraped listing states that 'commercial rights to sell physical prints are available through a paid Patreon membership' — this means a commercial license exists but must be actively purchased from the designer (novy,,,,,,decor,etsy,5-15,,,side-hustle,,,new,,,,,WORLDWIDE,none
2026-04-25T19:38:07.403Z,https://makerworld.com/de/models/2693321,makerworld.com/de/models/2693321,62,Good for the right audience,Dandelion Flower Series – HueForge Wall Art Print,"A high-contrast, multi-filament HueForge dandelion portrait designed for wall display, capturing delicate seed-release motion through layered tonal separation across four PLA colours. Beginner-friendly to print and well-suited as a gift or home décor piece.",novy,4.4h,"~60g PLA (4 colours: Black, Blue Grey, Gray, Jade White)",,,8500,↑ 22% YoY,3200,€24,"<b>Botanical and nature-themed wall art performs strongly on Etsy</b>, especially among the 58% female, under-35 buyer segment that dominates the platform — dandelion imagery specifically resonates with 'calm', 'mindfulness', and 'nature' gift search queries. <b>HueForge prints occupy a differentiated position</b> versus flat canvas or digital-download art because buyers perceive the layered filament texture as handcrafted and tactile, supporting a €20–€40 price ceiling without significant buyer resistance. Production from NL to worldwide is feasible at this weight and size, though <b>shipping to the USA (55% of Etsy traffic) will add €8–€14 per order</b> via PostNL international tracked, which must be factored into pricing or offered as a flat-rate shipping add-on.",€27.00,40,1080,96,108,876,Ideal method,TRUE,"Tonal depth — the four-layer filament colour sequence creates a painterly effect that is physically impossible to replicate with laser cutting, sublimation, or injection moulding at hobby-scale costs.",medium,The model page states commercial print-for-sale rights are available via a paid Patreon membership,,,,,,decor,etsy,,,,side-hustle,,,active,,,,NL,WORLDWIDE,"none, food"
2026-04-25T20:17:29.013Z,https://makerworld.com/models/1066487?appSharePlatform=copy,makerworld.com/models/1066487,38,Don't sell — commodity desk organiser,Naval Container Desk Holder (Long Version),"A modular desk organiser styled as a shipping container, designed to be printed without supports and expanded with optional internal modular inserts. The aesthetic is industrial/naval, targeting home office and workspace enthusiasts.",LABDimensions,12.5h,Estimated 220–280g PLA based on 12.5h print at 15% infill and 2 walls (~€6.60–€8.40 filament cost before failure overhead),,,18000,Stable,42000,€19,"<b>Desk organiser searches are high-volume but brutally competitive</b> — over 42,000 Etsy listings exist, and top sellers use bamboo, acacia wood, or leather-trimmed designs that photograph far better than matte PLA. <b>The naval/container aesthetic is a genuine differentiator</b> but appeals to a narrow industrial-decor niche rather than the mainstream Etsy gift buyer (58% female, skewing toward natural materials). <b>At 12.5h per print on a single printer, output is capped at roughly 1 unit/day</b>, creating a dispatch bottleneck that will hurt Etsy search ranking and make scaling to meaningful revenue nearly impossible without multiple printers.",€21.00,18,378,159,38,136,"Works, but has limits",TRUE,,,,,,,,,functional,,,,,testing,,,,,,,,WORLDWIDE,
2026-04-25T20:20:16.468Z,https://makerworld.com/de/models/2693321,makerworld.com/de/models/2693321,52,Marginal — needs a unique angle,Dandelion Flower Series – HueForge Wall Art Print,"A multi-filament HueForge wall art piece depicting a dandelion at the moment of seed release, printed in four tonal layers across Black, Blue Gray, Gray, and White PLA. Designed for clean tonal separation and beginner-friendly printing despite its fine structural detail.",novy,4.4h,"~55g PLA (4-colour filament swap, estimated across 28 layers at 0.08mm, 100% infill, 1 wall)",,,9400,→ Stable,12000,€22,"<b>Demand for botanical and nature-themed wall art is steady on Etsy, but competition is extremely high</b> — digital printables, canvas prints, and laser-engraved wood pieces undercut 3D-printed wall art on both price and perceived finish quality at this tier. <b>HueForge prints occupy a small but genuine niche</b>: buyers who specifically seek out layered-filament art do exist, but they are a small fraction of general wall art traffic and require education in the listing about what HueForge actually is. Production at 4.4h per unit on a single unspecified FDM printer allows roughly 3 units per day maximum — manageable for a testing phase but a bottleneck if demand spikes.",€22.00,18,396,39,100,257,"Works, but has limits",TRUE,"Tonal depth — the HueForge filament-swap technique creates a hand-crafted layered effect that is impossible to reproduce with standard printing or engraving, giving the piece a genuine 'made object' story that resonates with Etsy gift buyers.",medium,,,,,,,decor,etsy,,,,testing,,,new,,,,,WORLDWIDE,kids
2026-04-25T20:23:19.077Z,https://makerworld.com/de/models/2693321,makerworld.com/de/models/2693321,52,Marginal — needs a unique angle,Dandelion Flower Series – HueForge Wall Art,"A multi-filament HueForge wall art print depicting a dandelion in the moment of seed release, using four tonal layers (black, blue-gray, gray, white) to create soft contrast and movement. Designed specifically for FDM tonal printing, it is beginner-friendly despite its fine detail.",novy,4.4h,"Estimated 60–80g PLA (4 colours, 100% infill, 0.08mm layers)",,,9400,↑ 12% YoY,18000,€22,"<b>Botanical and nature wall art is a crowded but proven Etsy category</b> — demand peaks strongly in November–December and around Mother's Day, giving a clear seasonal window for a new seller to gain early reviews. <b>HueForge as a format is a meaningful differentiator</b> because the tonal filament-layer technique is visually distinctive from standard flat prints or paper prints, and buyers who encounter it often remark on the craft story. However, with 18,000+ wall art listings on Etsy, a new seller without reviews will struggle for organic visibility without a strong SEO strategy and competitive photography — <b>colour personalisation (offering different background palettes) is the single most accessible way to stand out</b> at this price point.",€11.00,30,330,62,46,222,"Works, but has limits",TRUE,"Tonal depth — the layered filament technique creates a tangible, textured relief effect that buyers physically cannot get from a framed poster or canvas print, justifying the handmade premium on Etsy.",medium,The model page states that commercial rights to sell physical prints are available via a paid Patreon membership — this means a commercial license exists but must be actively purchased from the designer (novy) before listing on Etsy; selling without it would violate the designer's terms and Etsy's March 2026 reselling policy.,low,"Selling from the US to worldwide buyers, this decorative wall art print faces no specific product safety regulation under CPSC or CPSIA (it is not a toy, electrical item, or food-contact product); however, shipments to EU buyers may attract GPSR scrutiny at customs for commercial sellers, so including a basic product information label (material, seller contact) on EU-bound parcels is recommended.",low,,,decor,etsy,5-15,,,,,,new,,,,US,WORLDWIDE,food
2026-04-25T20:25:01.243Z,https://makerworld.com/models/2602664?appSharePlatform=copy,makerworld.com/models/2602664,42,Marginal — needs a unique angle,Brachiosaurus Dinosaur Kit Card - DinoCards,"A flat-pack snap-together Brachiosaurus dinosaur model that assembles from a single print plate, inspired by traditional wooden kit card designs. Includes multiple gap-fitment variants to accommodate different printers and filaments.",3Z3D,2.2h (standard PLA profile),Approx. 35–50g PLA (estimated from 2.2h print time at standard flow rates),,1800,6500,Stable,4200,€14,"<b>Demand exists but competition is fragmented:</b> flat-pack dinosaur puzzles and kit cards sit in a crowded novelty toy space where the top Etsy listings have 200–500 reviews and mid-quality photos — a new seller can compete but needs strong differentiation. <b>The real opportunity is the DinoCards series as a bundle:</b> buyers searching for dinosaur gifts are highly likely to purchase multiple species, making repeat and multi-unit orders a genuine growth lever. <b>Photography is the biggest production risk</b> — a single-colour flat PLA card looks cheap in poorly lit shots; staging the assembled model against a lifestyle backdrop (child's hand, natural foliage, kraft paper) is essential to justify a premium price over generic AliExpress puzzle sets.",€14.00,28,392,53,39,253,"Works, but has limits",TRUE,,,,,,,,,gaming,,,,,testing,,,,,,,,WORLDWIDE,
2026-04-25T20:27:15.853Z,https://makerworld.com/models/850834?appSharePlatform=copy,makerworld.com/models/850834,32,Don't sell — weapons compliance risk,Double Barrel Pistol Shotgun - Fidget,"A 3D-printed double-barrelled fidget toy styled as a pistol-shotgun with working hammers, triggers, and a barrel that opens to load decorative shells. Designed as a non-firing anti-stress toy assembled with rubber bands and glue.",Megatiks,6.3h,"approx. 85g PLA (8 plates at 0.1mm layer height, 15% infill)",18.3k,,1200,down 18% YoY,320,€19,"<b>Demand for fidget toys has contracted significantly since the 2022–2023 peak</b>, and weapon-styled fidgets occupy a legally ambiguous subcategory that Etsy, PayPal, and Stripe have all flagged in their prohibited items policies at various times. <b>Buyer perception is a compounding problem</b>: the realistic gun aesthetic will deter the 58% female Etsy audience and the large US gift-buyer segment, while the plastic FDM finish at this price point struggles to justify the cost versus cheap injection-moulded alternatives from AliExpress. <b>Production is also constrained</b> — 8 plates at 6.3h total and a glue-assembly step means roughly 2 units per day on a single printer, and the matte grey or black PLA finish is notoriously difficult to photograph in a way that communicates the mechanical detail that makes the product interesting.",€19.00,20,380,54,38,221,"Works, but has limits",TRUE,,,,,,,,,gaming,,,,,testing,,,,,,,,WORLDWIDE,
2026-04-25T20:28:26.981Z,https://makerworld.com/de/models/2693321-dandelion-flower-series?from=recommend#profileId-2984611,makerworld.com/de/models/2693321-dandelion-flower-series,62,Good for the right audience,Dandelion Flower Series – HueForge Wall Art,"A multi-filament HueForge wall art print depicting a dandelion at the moment of seed release, using four tonal layers (black, blue-grey, grey, white) to create depth and motion. Designed for FDM printing with clean tonal separation and beginner-friendly settings.",novy,4.4h,"~45g PLA (4 colours: Black, Blue Grey, Gray, Jade White)",,,18000,↑ 18% YoY,4200,€22,"<b>Botanical and floral wall art is a durable Etsy category</b> with strong gifting intent year-round, peaking at Mother's Day, Valentine's Day, and Christmas. HueForge prints occupy a smaller, less saturated sub-niche within the broader wall art market — buyers who discover them often perceive them as uniquely handcrafted. <b>Competition from generic poster prints and canvas art is high</b>, so positioning must emphasise the layered-filament craft story and tactile quality. Production on a single FDM printer at 4.4h per unit caps realistic output at roughly 60–70 saleable units per month accounting for bed changes and failures.",€22.00,30,660,3,66,531,Ideal method,TRUE,"Tonal layering — HueForge's filament-swap technique creates a painterly gradient effect that buyers cannot source from mass-market décor suppliers, giving the product a handcrafted uniqueness premium.",medium,The model page states that commercial rights to sell physical prints are available through the designer's paid Patreon membership — meaning a commercial licence exists but must be actively purchased before listing on Etsy. Selling without purchasing that Patreon tier would violate the,,,,,,,,,,,,,,,,,,,WORLDWIDE,
2026-04-25T20:28:55.897Z,https://makerworld.com/de/models/1245872-mini-articulated-dragon-02?from=recommend#profileId-1267314,makerworld.com/de/models/1245872-mini-articulated-dragon-02,32,Don't sell — saturated generic category,Mini Articulated Dragon 02,"A small articulated baby dragon with flexible body joints, rotating arms and feet, available with magnet or keychain attachment options. Designed for desk display or as a fidget toy, printed in multicolour PLA.",Printzee,3.2h (multi-colour); 1.4h (single colour),"~35g PLA (estimated for mini articulated figure at stated 12% infill, 3 walls)",26.5k,,18000,↓ 12% YoY,12000,€9,"<b>This is one of the most saturated 3D-print niches on Etsy</b> — over 12,000 listings for articulated/flexi dragons exist, many with hundreds of reviews and sub-€8 price points that compress margins to near zero. Buyer perception of 3D-printed articulated animals has shifted toward commodity status, with AliExpress selling similar items for €2–4 shipped. <b>Seasonality offers a minor uplift around Christmas and Valentine's Day</b>, but volume competitors with thousands of reviews dominate those windows. A single FDM printer can produce adequate unit volume, but competing on price in this category is a race to the bottom.",€9.00,40,360,37,46,277,"Works, but has limits",TRUE,"Zero tooling — the articulated joint geometry with rotating limbs cannot be injection-moulded as a single piece, making FDM the only cost-viable method at low volumes",medium,"The scraped data shows that Printzee requires sellers to hold an active paid Patreon or Thangs membership, or a MakerWorld commercial membership, to obtain a commercial/print-for-sale licence — the",,,,,,,,,,,side-hustle,,,,,,,,WORLDWIDE,
